STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FoodAccessSF2015_State,FoodAccessSF2015_County,FoodAccessSF2015_Urban,FoodAccessSF2015_POP2010,FoodAccessSF2015_OHU2010,FoodAccessSF2015_GroupQuartersFlag,FoodAccessSF2015_NUMGQTRS,FoodAccessSF2015_PCTGQTRS,FoodAccessSF2015_LILATracts_1And10,FoodAccessSF2015_LILATracts_halfAnd10,FoodAccessSF2015_LILATracts_1And20,FoodAccessSF2015_LILATracts_Vehicle,FoodAccessSF2015_HUNVFlag,FoodAccessSF2015_LowIncomeTracts,FoodAccessSF2015_PovertyRate,FoodAccessSF2015_MedianFamilyIncome,FoodAccessSF2015_LA1and10,FoodAccessSF2015_LAhalfand10,FoodAccessSF2015_LA1and20,FoodAccessSF2015_LATracts_half,FoodAccessSF2015_LATracts1,FoodAccessSF2015_LATracts10,FoodAccessSF2015_LATracts20,FoodAccessSF2015_LATractsVehicle_20,FoodAccessSF2015_LAPOP1_10,FoodAccessSF2015_LAPOP05_10,FoodAccessSF2015_LAPOP1_20,FoodAccessSF2015_LALOWI1_10,FoodAccessSF2015_LALOWI05_10,FoodAccessSF2015_LALOWI1_20,FoodAccessSF2015_lapophalf,FoodAccessSF2015_lapophalfshare,FoodAccessSF2015_lalowihalf,FoodAccessSF2015_lalowihalfshare,FoodAccessSF2015_lakidshalf,FoodAccessSF2015_lakidshalfshare,FoodAccessSF2015_laseniorshalf,FoodAccessSF2015_laseniorshalfshare,FoodAccessSF2015_lawhitehalf,FoodAccessSF2015_lawhitehalfshare,FoodAccessSF2015_lablackhalf,FoodAccessSF2015_lablackhalfshare,FoodAccessSF2015_laasianhalf,FoodAccessSF2015_laasianhalfshare,FoodAccessSF2015_lanhopihalf,FoodAccessSF2015_lanhopihalfshare,FoodAccessSF2015_laaianhalf,FoodAccessSF2015_laaianhalfshare,FoodAccessSF2015_laomultirhalf,FoodAccessSF2015_laomultirhalfshare,FoodAccessSF2015_lahisphalf,FoodAccessSF2015_lahisphalfshare,FoodAccessSF2015_lahunvhalf,FoodAccessSF2015_lahunvhalfshare,FoodAccessSF2015_lasnaphalf,FoodAccessSF2015_lasnaphalfshare,FoodAccessSF2015_lapop1,FoodAccessSF2015_lapop1share,FoodAccessSF2015_lalowi1,FoodAccessSF2015_lalowi1share,FoodAccessSF2015_lakids1,FoodAccessSF2015_lakids1share,FoodAccessSF2015_laseniors1,FoodAccessSF2015_laseniors1share,FoodAccessSF2015_lawhite1,FoodAccessSF2015_lawhite1share,FoodAccessSF2015_lablack1,FoodAccessSF2015_lablack1share,FoodAccessSF2015_laasian1,FoodAccessSF2015_laasian1share,FoodAccessSF2015_lanhopi1,FoodAccessSF2015_lanhopi1share,FoodAccessSF2015_laaian1,FoodAccessSF2015_laaian1share,FoodAccessSF2015_laomultir1,FoodAccessSF2015_laomultir1share,FoodAccessSF2015_lahisp1,FoodAccessSF2015_lahisp1share,FoodAccessSF2015_lahunv1,FoodAccessSF2015_lahunv1share,FoodAccessSF2015_lasnap1,FoodAccessSF2015_lasnap1share,FoodAccessSF2015_lapop10,FoodAccessSF2015_lapop10share,FoodAccessSF2015_lalowi10,FoodAccessSF2015_lalowi10share,FoodAccessSF2015_lakids10,FoodAccessSF2015_lakids10share,FoodAccessSF2015_laseniors10,FoodAccessSF2015_laseniors10share,FoodAccessSF2015_lawhite10,FoodAccessSF2015_lawhite10share,FoodAccessSF2015_lablack10,FoodAccessSF2015_lablack10share,FoodAccessSF2015_laasian10,FoodAccessSF2015_laasian10share,FoodAccessSF2015_lanhopi10,FoodAccessSF2015_lanhopi10share,FoodAccessSF2015_laaian10,FoodAccessSF2015_laaian10share,FoodAccessSF2015_laomultir10,FoodAccessSF2015_laomultir10share,FoodAccessSF2015_lahisp10,FoodAccessSF2015_lahisp10share,FoodAccessSF2015_lahunv10,FoodAccessSF2015_lahunv10share,FoodAccessSF2015_lasnap10,FoodAccessSF2015_lasnap10share,FoodAccessSF2015_lapop20,FoodAccessSF2015_lapop20share,FoodAccessSF2015_lalowi20,FoodAccessSF2015_lalowi20share,FoodAccessSF2015_lakids20,FoodAccessSF2015_lakids20share,FoodAccessSF2015_laseniors20,FoodAccessSF2015_laseniors20share,FoodAccessSF2015_lawhite20,FoodAccessSF2015_lawhite20share,FoodAccessSF2015_lablack20,FoodAccessSF2015_lablack20share,FoodAccessSF2015_laasian20,FoodAccessSF2015_laasian20share,FoodAccessSF2015_lanhopi20,FoodAccessSF2015_lanhopi20share,FoodAccessSF2015_laaian20,FoodAccessSF2015_laaian20share,FoodAccessSF2015_laomultir20,FoodAccessSF2015_laomultir20share,FoodAccessSF2015_lahisp20,FoodAccessSF2015_lahisp20share,FoodAccessSF2015_lahunv20,FoodAccessSF2015_lahunv20share,FoodAccessSF2015_lasnap20,FoodAccessSF2015_lasnap20share,FoodAccessSF2015_TractLOWI,FoodAccessSF2015_TractKids,FoodAccessSF2015_TractSeniors,FoodAccessSF2015_TractWhite,FoodAccessSF2015_TractBlack,FoodAccessSF2015_TractAsian,FoodAccessSF2015_TractNHOPI,FoodAccessSF2015_TractAIAN,FoodAccessSF2015_TractOMultir,FoodAccessSF2015_TractHispanic,FoodAccessSF2015_TractHUNV,FoodAccessSF2015_TractSNAP
"06","075","010200",1400000US06075010200,"06075010200","102",CT,515958,295388,California,San Francisco,"1","4143","2544","0","5","0.0012069","0","0","0","0","1","0","6.8","138333","0","1","0","1","0","0","0","1","0","837.9503717","0","0","150.5820801","0","837.9503717","0.202256908","150.5820801","0.036346145","50.75940569","0.012251848","130.9542007","0.031608545","663.394047","0.160124076","1.791028976","0.000432302","120.5158627","0.029089033","0.989446003","0.000238824","1.989446003","0.000480195","49.27054232","0.011892479","49.26077699","0.011890122","102.1380218","0.040148593","4.704695188","0.00184933","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","681","256","722","3518","28","419","6","6","166","211","765","25"
"06","075","011200",1400000US06075011200,"06075011200","112",CT,177414,0,California,San Francisco,"1","3286","1858","0","2","0.0006086","0","0","0","0","0","0","13.9","104219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","893","220","729","1929","52","1150","6","3","146","188","735","10"
"06","075","012401",1400000US06075012401,"06075012401","124.01",CT,91972,0,California,San Francisco,"1","5075","2698","0","100","0.0197044","0","0","0","0","0","1","26.7","26449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3481","638","513","1830","529","1279","20","62","1355","1852","2077","494"
"06","075","013300",1400000US06075013300,"06075013300","133",CT,581310,0,California,San Francisco,"1","4232","1887","0","255","0.0602552","0","0","0","0","0","0","11.3","250000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","792","752","976","3571","55","439","2","9","156","194","402","0"
"06","075","015400",1400000US06075015400,"06075015400","154",CT,719491,0,California,San Francisco,"1","5621","2839","0","9","0.0016011","0","0","0","0","0","0","6.6","128750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1120","726","787","3838","167","1257","14","8","337","365","732","119"
"06","075","016300",1400000US06075016300,"06075016300","163",CT,245866,0,California,San Francisco,"1","4293","2047","0","81","0.0188679","0","0","0","0","0","0","19","79091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1486","412","339","2428","826","574","8","23","434","550","863","129"
"06","075","017801",1400000US06075017801,"06075017801","178.01",CT,214052,0,California,San Francisco,"1","3499","2198","0","300","0.0857388","0","0","0","0","0","1","34.2","42157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1765","76","2016","986","114","2268","2","4","125","139","1601","15"
"06","075","020800",1400000US06075020800,"06075020800","208",CT,346098,0,California,San Francisco,"1","6577","2543","0","132","0.0200699","0","0","0","0","0","1","21","53491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2642","793","581","3371","180","889","8","118","2011","3346","1156","153"
"06","075","022704",1400000US06075022704,"06075022704","227.04",CT,544609,0,California,San Francisco,"1","3122","1611","0","5","0.0016015","0","0","0","0","0","0","3.9","173661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","309","335","317","2407","43","420","2","12","238","249","143","20"
"06","075","023300",1400000US06075023300,"06075023300","233",CT,635979,0,California,San Francisco,"1","2624","620","0","0","0","0","0","0","0","0","1","10.6","70156","0","0","0","0","0","0","0","0","0","355.5873375","0","0","94.35030222","0","355.5873375","0.135513467","94.35030222","0.03595667","98.14323425","0.037402147","36.56300485","0.013934072","36.7690829","0.014012608","87.26910573","0.033258043","111.9738054","0.042672944","0","0","2.881714582","0.001098214","116.6936264","0.044471656","150.5305481","0.057366825","7.201774515","0.011615765","9.244068719","0.014909788","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","891","616","306","219","293","1672","10","21","409","552","67","86"
